College,Program,Year,Measure,Value,Formatted for Tables,,
Baltimore Community College,Management,2014,Graduation Rate,0.990992868,0.991,,
Baltimore Community College,Management,2014,Employment Rate,0.476543412,0.477,,
Baltimore Community College,Management,2014,Retention,0.79567346,0.796,,
Baltimore Community College,Management,2014,Earnings,417.1019616,$417 ,,
Baltimore Community College,Management,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.256703571,0.257,,
University of Baltimore,Cyber Security,2014,Graduation Rate,0.253732297,0.254,,
University of Baltimore,Cyber Security,2014,Employment Rate,0.52894289,0.529,,
University of Baltimore,Cyber Security,2014,Retention,0.090472638,0.091,,
University of Baltimore,Cyber Security,2014,Earnings,6475.236056,"$6,475 ",,
University of Baltimore,Cyber Security,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.9706169,0.971,,
University of Baltimore,Accounting,2014,Graduation Rate,0.755587693,0.756,,
University of Baltimore,Accounting,2014,Employment Rate,0.489462365,0.49,,
University of Baltimore,Accounting,2014,Retention,0.106173157,0.106,,
University of Baltimore,Accounting,2014,Earnings,3495.35337,"$3,495 ",,
University of Baltimore,Accounting,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.529350624,0.529,,
University of Baltimore,Management,2014,Graduation Rate,0.306869832,0.307,,
University of Baltimore,Management,2014,Employment Rate,0.752351837,0.752,,
University of Baltimore,Management,2014,Retention,0.881910372,0.882,,
University of Baltimore,Management,2014,Earnings,5669.490533,"$5,669 ",,
University of Baltimore,Management,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.218019355,0.218,,
Montgomery College,Cyber Security,2015,Graduation Rate,0.145881824,0.146,,
Montgomery College,Cyber Security,2015,Employment Rate,0.943706404,0.944,,
Montgomery College,Cyber Security,2015,Retention,0.530470565,0.531,,
Montgomery College,Cyber Security,2015,Earnings,3966.13738,"$3,966 ",,
Montgomery College,Cyber Security,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.727605621,0.728,,
Montgomery College,Accounting,2015,Graduation Rate,0.17300796,0.173,,
Montgomery College,Accounting,2015,Employment Rate,0.250803342,0.251,,
Montgomery College,Accounting,2015,Retention,0.087424934,0.087,,
Montgomery College,Accounting,2015,Earnings,8746.468003,"$8,746 ",,
Montgomery College,Accounting,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.666272882,0.666,,
Montgomery College,Management,2015,Graduation Rate,0.884759391,0.885,,
Montgomery College,Management,2015,Employment Rate,0.007382007,0.007,,
Montgomery College,Management,2015,Retention,0.169126925,0.169,,
Montgomery College,Management,2015,Earnings,9708.982494,"$9,709 ",,
Montgomery College,Management,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.803814015,0.804,,
Baltimore Community College,Cyber Security,2015,Graduation Rate,0.038486467,0.039,,
Baltimore Community College,Cyber Security,2015,Employment Rate,0.09089709,0.091,,
Baltimore Community College,Cyber Security,2015,Retention,0.422513734,0.423,,
Baltimore Community College,Cyber Security,2015,Earnings,5489.49202,"$5,489 ",,
Baltimore Community College,Cyber Security,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.6471715,0.647,,
Baltimore Community College,Accounting,2015,Graduation Rate,0.506889617,0.507,,
Baltimore Community College,Accounting,2015,Employment Rate,0.858936077,0.859,,
Baltimore Community College,Accounting,2015,Retention,0.725062947,0.725,,
Baltimore Community College,Accounting,2015,Earnings,731.4257436,$731 ,,
Baltimore Community College,Accounting,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.344941237,0.345,,
Baltimore Community College,Management,2015,Graduation Rate,0.052535081,0.053,,
Baltimore Community College,Management,2015,Employment Rate,0.450100431,0.45,,
Baltimore Community College,Management,2015,Retention,0.555013784,0.555,,
Baltimore Community College,Management,2015,Earnings,9943.873975,"$9,944 ",,
Baltimore Community College,Management,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.880536057,0.881,,
University of Baltimore,Cyber Security,2015,Graduation Rate,0.334213995,0.334,,
University of Baltimore,Cyber Security,2015,Employment Rate,0.903383694,0.903,,
University of Baltimore,Cyber Security,2015,Retention,0.69030632,0.69,,
University of Baltimore,Cyber Security,2015,Earnings,3529.464835,"$3,529 ",,
University of Baltimore,Cyber Security,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.712195951,0.712,,
University of Baltimore,Accounting,2015,Graduation Rate,0.479142909,0.479,,
University of Baltimore,Accounting,2015,Employment Rate,0.638706353,0.639,,
University of Baltimore,Accounting,2015,Retention,0.167616369,0.168,,
University of Baltimore,Accounting,2015,Earnings,5086.755665,"$5,087 ",,
University of Baltimore,Accounting,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.114945099,0.115,,
University of Baltimore,Management,2015,Graduation Rate,0.760482832,0.761,,
University of Baltimore,Management,2015,Employment Rate,0.999528225,1,,
University of Baltimore,Management,2015,Retention,0.399235431,0.399,,
University of Baltimore,Management,2015,Earnings,8721.250995,"$8,721 ",,
University of Baltimore,Management,2015,Inter-college Transfer Rate (Including dual enroll and online enroll),0.948354441,0.948,,
Montgomery College,Cyber Security,2016,Graduation Rate,0.479898671,0.48,,
Montgomery College,Cyber Security,2016,Employment Rate,0.83158497,0.832,,
Montgomery College,Cyber Security,2016,Retention,0.290213569,0.29,,
Montgomery College,Cyber Security,2016,Earnings,76.85615285,$77 ,,
Montgomery College,Cyber Security,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.257841223,0.258,,
Montgomery College,Accounting,2016,Graduation Rate,0.800303692,0.8,,
Montgomery College,Accounting,2016,Employment Rate,0.429012664,0.429,,
Montgomery College,Accounting,2016,Retention,0.734943855,0.735,,
Montgomery College,Accounting,2016,Earnings,8725.562004,"$8,726 ",,
Montgomery College,Accounting,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.214382672,0.214,,
Montgomery College,Management,2016,Graduation Rate,0.086924488,0.087,,
Montgomery College,Management,2016,Employment Rate,0.424009988,0.424,,
Montgomery College,Management,2016,Retention,0.137361938,0.137,,
Montgomery College,Management,2016,Earnings,5654.540076,"$5,655 ",,
Montgomery College,Management,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.284720516,0.285,,
Baltimore Community College,Cyber Security,2016,Graduation Rate,0.505646469,0.506,,
Baltimore Community College,Cyber Security,2016,Employment Rate,0.948054498,0.948,,
Baltimore Community College,Cyber Security,2016,Retention,0.978103873,0.978,,
Baltimore Community College,Cyber Security,2016,Earnings,171.7180196,$172 ,,
Baltimore Community College,Cyber Security,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.24704151,0.247,,
Baltimore Community College,Accounting,2016,Graduation Rate,0.194394814,0.194,,
Baltimore Community College,Accounting,2016,Employment Rate,0.337051035,0.337,,
Baltimore Community College,Accounting,2016,Retention,0.479013843,0.479,,
Baltimore Community College,Accounting,2016,Earnings,3203.519123,"$3,204 ",,
Baltimore Community College,Accounting,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.177779219,0.178,,
Baltimore Community College,Management,2016,Graduation Rate,0.924037601,0.924,,
Baltimore Community College,Management,2016,Employment Rate,0.183268775,0.183,,
Baltimore Community College,Management,2016,Retention,0.0685464,0.069,,
Baltimore Community College,Management,2016,Earnings,3425.161713,"$3,425 ",,
Baltimore Community College,Management,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.905920057,0.906,,
University of Baltimore,Cyber Security,2016,Graduation Rate,0.84952186,0.85,,
University of Baltimore,Cyber Security,2016,Employment Rate,0.248747557,0.249,,
University of Baltimore,Cyber Security,2016,Retention,0.622647367,0.623,,
University of Baltimore,Cyber Security,2016,Earnings,5699.003359,"$5,699 ",,
University of Baltimore,Cyber Security,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.35189079,0.352,,
University of Baltimore,Accounting,2016,Graduation Rate,0.4838842,0.484,,
University of Baltimore,Accounting,2016,Employment Rate,0.508599523,0.509,,
University of Baltimore,Accounting,2016,Retention,0.759636825,0.76,,
University of Baltimore,Accounting,2016,Earnings,6267.669816,"$6,268 ",,
University of Baltimore,Accounting,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.827443558,0.827,,
University of Baltimore,Management,2016,Graduation Rate,0.583396562,0.583,,
University of Baltimore,Management,2016,Employment Rate,0.491838353,0.492,,
University of Baltimore,Management,2016,Retention,0.38640926,0.386,,
University of Baltimore,Management,2016,Earnings,5504.182136,"$5,504 ",,
University of Baltimore,Management,2016,Inter-college Transfer Rate (Including dual enroll and online enroll),0.594113987,0.594,,
