College,College Initials,Credential_level,Measure,Totals,Blank
Wor-Wic Community College,WWCC,Not Specified,retentionRate,0.234,N
Allegany Community College,ACC,Certificate [No Data],medianEarning,500,Y
Allegany Community College,ACC,AAS Degree ,medianEarning,29709,N
Allegany Community College,ACC,Associate Degree [No Data],medianEarning,500,Y
Baltimore City Community College,BCCC,Non-credit Certificate,medianEarning,32925,N
Carroll Community College,CCC,Certificate ,medianEarning,25523,N
Carroll Community College,CCC,Non-credit Certificate,medianEarning,33437.5,N
Carroll Community College,CCC,AAS Degree ,medianEarning,4717,N
Carroll Community College,CCC,Associate Degree,medianEarning,31288.5,N
Carroll Community College,CCC,Not Specified,medianEarning,34753.5,N
College of Southern Maryland,CoSM,Certificate ,medianEarning,21642,N
College of Southern Maryland,CoSM,Non-credit Certificate [No Data],medianEarning,500,Y
College of Southern Maryland,CoSM,AAS Degree [No Data],medianEarning,500,Y
College of Southern Maryland,CoSM,Associate Degree,medianEarning,10019,N
College of Southern Maryland,CoSM,Not Specified [No Data],medianEarning,500,Y
Community College of Baltimore County,CCBC,Certificate ,medianEarning,27530,N
Community College of Baltimore County,CCBC,Non-credit Certificate [No Data],medianEarning,500,Y
Community College of Baltimore County,CCBC,AAS Degree ,medianEarning,29420,N
Community College of Baltimore County,CCBC,Associate Degree,medianEarning,5905,N
Frederick Community College,FCC,Certificate ,medianEarning,28473,N
Frederick Community College,FCC,AAS Degree ,medianEarning,25046,N
Frederick Community College,FCC,Associate Degree,medianEarning,11662.5,N
Garrett College,GC,Certificate ,medianEarning,27950,N
Garrett College,GC,Non-credit Certificate [No Data],medianEarning,500,Y
Garrett College,GC,AAS Degree ,medianEarning,12830,N
Garrett College,GC,Associate Degree [No Data],medianEarning,500,Y
Hagerstown Community College,HagCC,Certificate ,medianEarning,15215,N
Hagerstown Community College,HagCC,AAS Degree ,medianEarning,21185,N
Hagerstown Community College,HagCC,Associate Degree,medianEarning,26121,N
Hagerstown Community College,HagCC,Not Specified [No Data],medianEarning,500,Y
Harford Community College,HarCC,Certificate ,medianEarning,31316,N
Harford Community College,HarCC,Associate Degree,medianEarning,23934.5,N
Harford Community College,HarCC,Not Specified [No Data],medianEarning,500,Y
Howard Community College,HowCC,Certificate ,medianEarning,54612,N
Howard Community College,HowCC,Non-credit Certificate [No Data],medianEarning,500,Y
Howard Community College,HowCC,AAS Degree ,medianEarning,30720,N
Howard Community College,HowCC,Associate Degree,medianEarning,24671.5,N
Howard Community College,HowCC,Not Specified,medianEarning,44148,N
Montgomery College,MC,Certificate ,medianEarning,40268,N
Montgomery College,MC,AAS Degree ,medianEarning,40034,N
Montgomery College,MC,Associate Degree,medianEarning,38784,N
Montgomery College,MC,Not Specified,medianEarning,79469,N
Prince George's Community College,PGCC,Non-credit Certificate,medianEarning,31790.5,N
Wor-Wic Community College,WWCC,Certificate ,medianEarning,27078.5,N
Wor-Wic Community College,WWCC,AAS Degree ,medianEarning,37518,N
Wor-Wic Community College,WWCC,Associate Degree,medianEarning,24954,N
Wor-Wic Community College,WWCC,Not Specified,medianEarning,21960,N
Allegany Community College,ACC,Certificate ,graduationRate,0.560,N
Allegany Community College,ACC,AAS Degree ,graduationRate,0.531,N
Allegany Community College,ACC,Associate Degree,graduationRate,0.615,N
Baltimore City Community College,BCCC,Non-credit Certificate,graduationRate,0.522,N
Carroll Community College,CCC,Certificate ,graduationRate,0.372,N
Carroll Community College,CCC,Non-credit Certificate,graduationRate,1.000,N
Carroll Community College,CCC,AAS Degree ,graduationRate,0.300,N
Carroll Community College,CCC,Associate Degree,graduationRate,0.717,N
Carroll Community College,CCC,Not Specified,graduationRate,0.417,N
College of Southern Maryland,CoSM,Certificate ,graduationRate,0.200,N
College of Southern Maryland,CoSM,Non-credit Certificate [No Data],graduationRate,0.050,Y
College of Southern Maryland,CoSM,AAS Degree [No Data],graduationRate,0.050,Y
College of Southern Maryland,CoSM,Associate Degree,graduationRate,0.444,N
College of Southern Maryland,CoSM,Not Specified,graduationRate,0.026,N
Community College of Baltimore County,CCBC,Certificate ,graduationRate,0.221,N
Community College of Baltimore County,CCBC,Non-credit Certificate [No Data],graduationRate,0.050,Y
Community College of Baltimore County,CCBC,AAS Degree ,graduationRate,1.000,N
Community College of Baltimore County,CCBC,Associate Degree,graduationRate,0.643,N
Frederick Community College,FCC,Certificate ,graduationRate,0.245,N
Frederick Community College,FCC,AAS Degree ,graduationRate,1.000,N
Frederick Community College,FCC,Associate Degree,graduationRate,1.000,N
Garrett College,GC,Certificate ,graduationRate,0.467,N
Garrett College,GC,Non-credit Certificate [No Data],graduationRate,0.050,Y
Garrett College,GC,AAS Degree ,graduationRate,0.552,N
Garrett College,GC,Associate Degree,graduationRate,0.500,N
Hagerstown Community College,HagCC,Certificate ,graduationRate,0.344,N
Hagerstown Community College,HagCC,AAS Degree ,graduationRate,0.258,N
Hagerstown Community College,HagCC,Associate Degree,graduationRate,0.283,N
Hagerstown Community College,HagCC,Not Specified,graduationRate,0.258,N
Harford Community College,HarCC,Certificate ,graduationRate,0.350,N
Harford Community College,HarCC,Associate Degree,graduationRate,0.545,N
Harford Community College,HarCC,Not Specified,graduationRate,0.182,N
Howard Community College,HowCC,Certificate ,graduationRate,0.059,N
Howard Community College,HowCC,Non-credit Certificate [No Data],graduationRate,0.050,Y
Howard Community College,HowCC,AAS Degree ,graduationRate,0.048,N
Howard Community College,HowCC,Associate Degree,graduationRate,0.081,N
Howard Community College,HowCC,Not Specified,graduationRate,0.019,N
Montgomery College,MC,Certificate ,graduationRate,0.576,N
Montgomery College,MC,AAS Degree ,graduationRate,0.464,N
Montgomery College,MC,Associate Degree,graduationRate,0.267,N
Montgomery College,MC,Not Specified,graduationRate,0.017,N
Prince George's Community College,PGCC,Non-credit Certificate,graduationRate,0.989,N
Wor-Wic Community College,WWCC,Certificate ,graduationRate,0.470,N
Wor-Wic Community College,WWCC,AAS Degree ,graduationRate,0.750,N
Wor-Wic Community College,WWCC,Associate Degree,graduationRate,0.587,N
Wor-Wic Community College,WWCC,Not Specified,graduationRate,0.870,N
Allegany Community College,ACC,Certificate [No Data],transferRate,0.050,Y
Allegany Community College,ACC,AAS Degree [No Data],transferRate,0.050,Y
Allegany Community College,ACC,Associate Degree [No Data],transferRate,0.050,Y
Baltimore City Community College,BCCC,Non-credit Certificate [No Data],transferRate,0.050,Y
Carroll Community College,CCC,Certificate ,transferRate,0.009,N
Carroll Community College,CCC,Non-credit Certificate [No Data],transferRate,0.050,Y
Carroll Community College,CCC,AAS Degree [No Data],transferRate,0.050,Y
Carroll Community College,CCC,Associate Degree [No Data],transferRate,0.050,Y
Carroll Community College,CCC,Not Specified [No Data],transferRate,0.050,Y
College of Southern Maryland,CoSM,Certificate ,transferRate,0.900,N
College of Southern Maryland,CoSM,Non-credit Certificate [No Data],transferRate,0.050,Y
College of Southern Maryland,CoSM,AAS Degree ,transferRate,0.421,N
College of Southern Maryland,CoSM,Associate Degree,transferRate,0.222,N
College of Southern Maryland,CoSM,Not Specified,transferRate,0.342,N
Community College of Baltimore County,CCBC,Certificate ,transferRate,0.065,N
Community College of Baltimore County,CCBC,Non-credit Certificate [No Data],transferRate,0.050,Y
Community College of Baltimore County,CCBC,AAS Degree ,transferRate,0.167,N
Community College of Baltimore County,CCBC,Associate Degree,transferRate,0.357,N
Frederick Community College,FCC,Certificate ,transferRate,0.120,N
Frederick Community College,FCC,AAS Degree ,transferRate,0.176,N
Frederick Community College,FCC,Associate Degree,transferRate,0.274,N
Garrett College,GC,Certificate ,transferRate,0.200,N
Garrett College,GC,Non-credit Certificate,transferRate,0.333,N
Garrett College,GC,AAS Degree ,transferRate,0.284,N
Garrett College,GC,Associate Degree [No Data],transferRate,0.050,Y
Hagerstown Community College,HagCC,Certificate ,transferRate,0.094,N
Hagerstown Community College,HagCC,AAS Degree ,transferRate,0.040,N
Hagerstown Community College,HagCC,Associate Degree,transferRate,0.059,N
Hagerstown Community College,HagCC,Not Specified,transferRate,0.032,N
Harford Community College,HarCC,Certificate ,transferRate,0.118,N
Harford Community College,HarCC,Associate Degree,transferRate,0.076,N
Harford Community College,HarCC,Not Specified,transferRate,0.091,N
Howard Community College,HowCC,Certificate ,transferRate,0.068,N
Howard Community College,HowCC,Non-credit Certificate [No Data],transferRate,0.050,Y
Howard Community College,HowCC,AAS Degree ,transferRate,0.036,N
Howard Community College,HowCC,Associate Degree,transferRate,0.083,N
Howard Community College,HowCC,Not Specified,transferRate,0.011,N
Montgomery College,MC,Certificate ,transferRate,0.215,N
Montgomery College,MC,AAS Degree ,transferRate,0.453,N
Montgomery College,MC,Associate Degree,transferRate,0.386,N
Montgomery College,MC,Not Specified,transferRate,0.243,N
Prince George's Community College,PGCC,Non-credit Certificate [No Data],transferRate,0.050,Y
Wor-Wic Community College,WWCC,Certificate ,transferRate,0.120,N
Wor-Wic Community College,WWCC,AAS Degree ,transferRate,0.250,N
Wor-Wic Community College,WWCC,Associate Degree,transferRate,0.120,N
Wor-Wic Community College,WWCC,Not Specified,transferRate,0.241,N
